Player,Position,Minutes,Goals,Assists,Total Shoot,Touches,Expected Goals (xG),Carries
Gorka Guruzeta,FW,90,0,1,1,30,0.1,15
Álex Berenguer,LW,71,0,0,0,33,0,17
Nico Williams,LW,19,0,0,2,11,0.1,6
Iñaki Williams,RW,90,0,0,2,36,0.1,22
Oihan Sancet,AM,90,1,0,1,26,0,15
Mikel Vesga,DM,56,0,0,0,44,0,19
Unai Gómez,DM,34,0,0,0,17,0,7
Beñat Prados,DM,56,0,0,0,33,0,15
Ander Herrera,DM,34,0,0,0,37,0,23
Yuri Berchiche,LB,90,0,0,1,70,0,25
Aitor Paredes,CB,80,0,0,0,66,0,37
Daniel Vivian,CB,10,0,0,0,20,0,18
Yeray Álvarez,CB,90,0,0,0,73,0,37
Andoni Gorosabel,RB,80,0,0,0,34,0,9
Iñigo Lekue,RB,10,0,0,0,17,0,11
Alex Padilla,GK,90,0,0,0,45,0,24
Chrisantus Uche,FW,90,1,0,1,26,0,18
Alex Sola,LM,78,0,0,1,18,0,12
Jesús Santiago,CM,12,0,0,0,2,0,0
Mauro Arambarri,CM,39,0,0,0,10,0,5
Carles Aleñá,"CM,RM",51,0,0,1,21,0.5,10
Luis Milla,CM,90,0,1,0,45,0,15
Carles Pérez,RM,45,0,0,2,21,0,14
Peter Federico,"RM,LM",45,0,0,1,11,0.2,4
Nabil Aberdin,DM,90,0,0,1,29,0,11
Diego Rico,LB,90,0,0,0,42,0,13
Omar Alderete,CB,90,0,0,2,36,0,18
Djené,CB,90,0,0,0,27,0,7
Iglesias,RB,90,0,0,0,45,0,13
David Soria,GK,90,0,0,0,21,0,12
Aitor Ruibal,FW,69,0,0,3,23,0.4,16
Ezequiel Ávila,FW,21,0,0,1,7,0.1,4
Juanmi,LW,58,0,0,1,23,0.1,11
Abde Ezzalzouli,LW,32,0,0,0,16,0,10
Pablo Fornals,RW,58,0,0,2,28,0.1,19
Rodri,RW,32,0,0,1,26,0.1,19
Nabil Fekir,AM,90,0,1,2,44,0,30
Marc Roca,DM,76,0,0,0,23,0,13
Sergi Altimira,DM,14,0,0,0,23,0,16
William Carvalho,DM,76,0,0,2,43,0.1,31
Johnny Cardoso,DM,14,0,0,2,16,0.1,9
Romain Perraud,LB,90,0,0,2,48,0.1,27
Diego Llorente,CB,90,0,0,0,62,0,43
Marc Bartra,CB,90,1,0,1,58,0.2,41
Youssouf Sabaly,RB,90,0,0,2,48,0.1,21
Rui Silva,GK,90,0,0,0,42,0,24
Abel Ruiz,FW,80,0,0,2,24,0.3,17
Ladislav Krejčí,CB,10,0,0,0,11,0,9
Portu,LW,65,0,0,1,34,0,24
